id,max_corsi,corsi_minmax,conditional_correct,conditional_minmax,mental_accuracy,mental_minmax,spatial_arrag_correct,spatial_arrag_minmax,spatial_rel_correct,spatial_rel_minmax,nvc_count,nvc_count_maxscaled,crt_correct,crt_minmax,NFC,NFC_minmax,verbal,verbal_minmax,wason_correct,wason_minmax,jacc
participant_6,9,0.8888888888888888,0.5,0.5,0.7,0.7,0.8,0.8,0.71875,0.71875,7,0.21875,0.7142857142857143,0.7142857142857143,3.0,0.3333333333333333,0.25,0.25,0.5,0.5,0.5989583333333334
participant_60,7,0.6666666666666666,0.375,0.375,0.2,0.2,0.5,0.5,0.25,0.25,10,0.3125,0.5714285714285714,0.5714285714285714,2.5,0.25,0.5,0.5,0.5,0.5,0.14583333333333334
participant_61,7,0.6666666666666666,0.625,0.625,0.3,0.3,0.7,0.7,0.5625,0.5625,3,0.09375,0.14285714285714285,0.14285714285714285,4.25,0.5416666666666666,0.625,0.625,0.0,0.0,0.3932291666666667
participant_62,7,0.6666666666666666,0.625,0.625,0.25,0.25,0.4,0.4,0.46875,0.46875,5,0.15625,0.0,0.0,3.25,0.375,0.125,0.125,0.3333333333333333,0.3333333333333333,0.25
participant_63,2,0.1111111111111111,0.5,0.5,0.35,0.35,0.8,0.8,0.5625,0.5625,1,0.03125,0.2857142857142857,0.2857142857142857,4.25,0.5416666666666666,0.375,0.375,0.5,0.5,0.3776041666666667
participant_64,6,0.5555555555555556,0.625,0.625,0.35,0.35,0.8,0.8,0.59375,0.59375,5,0.15625,0.8571428571428571,0.8571428571428571,3.5,0.4166666666666667,0.625,0.625,0.5,0.5,0.3385416666666667
participant_65,8,0.7777777777777778,0.5,0.5,0.1,0.1,0.7,0.7,0.6875,0.6875,3,0.09375,0.2857142857142857,0.2857142857142857,3.75,0.4583333333333333,0.0,0.0,0.0,0.0,0.10130208333333333
participant_66,8,0.7777777777777778,0.625,0.625,0.15,0.15,0.8,0.8,0.8125,0.8125,3,0.09375,0.42857142857142855,0.42857142857142855,3.75,0.4583333333333333,0.625,0.625,0.6666666666666666,0.6666666666666666,0.20182291666666666
participant_67,9,0.8888888888888888,0.375,0.375,0.35,0.35,0.55,0.55,0.40625,0.40625,9,0.28125,0.42857142857142855,0.42857142857142855,2.5,0.25,0.25,0.25,0.5,0.5,0.31640625
participant_68,7,0.6666666666666666,0.5,0.5,0.3,0.3,0.65,0.65,0.4375,0.4375,4,0.125,0.2857142857142857,0.2857142857142857,3.5,0.4166666666666667,0.125,0.125,0.3333333333333333,0.3333333333333333,0.11380208333333333
participant_69,7,0.6666666666666666,0.5,0.5,0.35,0.35,0.75,0.75,0.46875,0.46875,2,0.0625,0.5714285714285714,0.5714285714285714,5.0,0.6666666666666666,0.25,0.25,0.5,0.5,0.23567708333333334
participant_7,8,0.7777777777777778,0.5,0.5,0.2,0.2,0.65,0.65,0.4375,0.4375,4,0.125,0.14285714285714285,0.14285714285714285,3.25,0.375,0.0,0.0,0.3333333333333333,0.3333333333333333,0.09739583333333333
participant_70,9,0.8888888888888888,0.5,0.5,0.25,0.25,0.6,0.6,0.46875,0.46875,2,0.0625,0.5714285714285714,0.5714285714285714,4.75,0.625,0.125,0.125,0.5,0.5,0.21796875
